ID,ltable_ID,rtable_ID,ltable_Title,ltable_Price,ltable_Miles,rtable_Title,rtable_Price,rtable_Miles
117,a1380,b1681,2022 Honda HR-V LX,23900,8060,2022 Honda HR-V LX,22900,14120
118,a330,b1230,2021 MAZDA CX-9 Touring,28490,19817,2021 MAZDA CX-9 Touring,28490,19817
119,a1458,b1234,2012 Nissan Altima 2.5 SL,4990,98272,2012 Nissan Altima 2.5 SL,4990,98272
120,a1450,b1235,2015 Chevrolet Silverado 1500 LT,14490,104141,2015 Chevrolet Silverado 1500 LT,14490,104141
121,a955,b1237,2019 Toyota Corolla LE,18490,26576,2019 Toyota Corolla LE,18490,26576
122,a1942,b1239,2016 RAM 1500 Express,22990,51046,2016 RAM 1500 Express,22990,51046
123,a698,b1240,2018 Chevrolet Traverse Premier,28990,42735,2018 Chevrolet Traverse Premier,28990,42735
124,a1324,b1244,2022 Chevrolet Suburban LT,66990,8917,2022 Chevrolet Suburban LT,66990,8917
125,a1916,b1245,2015 Audi Q5 2.0T Premium,15000,77901,2015 Audi Q5 2.0T Premium,15000,77901
126,a1390,b1246,2020 Kia Forte LXS,18000,8050,2020 Kia Forte LXS,18000,8050
127,a1754,b1247,2018 Hyundai Elantra SEL,14709,43260,2018 Hyundai Elantra SEL,14709,43260
128,a1132,b1248,2018 Hyundai Sonata SE,17299,17512,2018 Hyundai Sonata SE,17299,17512
129,a1955,b1250,2020 Hyundai Sonata SE,20299,15160,2020 Hyundai Sonata SE,20299,15160
130,a1235,b1251,2021 Hyundai Sonata SEL,20899,14515,2021 Hyundai Sonata SEL,20899,14515
131,a1290,b1324,2020 Honda HR-V Sport,21999,21522,2020 Honda HR-V Sport,22995,26578
132,a440,b1259,2020 Subaru Outback Premium,25399,19351,2020 Subaru Outback Premium,25399,19351
133,a917,b1260,2021 Hyundai Santa Fe SEL,25799,17299,2021 Hyundai Santa Fe SEL,25799,17299
134,a1530,b1262,2021 Genesis G70 2.0T,30402,15969,2021 Genesis G70 2.0T,30402,15969
135,a1320,b1264,2023 Hyundai Tucson Limited,33799,8561,2023 Hyundai Tucson Limited,33799,8561
136,a1775,b1265,2021 Cadillac CT4 Sport,35899,14812,2021 Cadillac CT4 Sport,35899,14812
137,a1324,b1266,2023 Hyundai Santa Fe Calligraphy,37299,4365,2023 Hyundai Santa Fe Calligraphy,37299,4365
138,a1901,b1267,2023 Genesis G70 2.0T,39099,7014,2023 Genesis G70 2.0T,39099,7014
139,a806,b1268,2022 Chrysler Pacifica Limited,40899,7274,2022 Chrysler Pacifica Limited,40899,7274
140,a1111,b1269,2019 BMW 540i,34989,37454,2019 BMW 540i,34989,37454
141,a1286,b1463,2021 BMW X3 sDrive30i,37438,15986,2021 BMW X3 sDrive30i,39998,18801
