ID,Title,Price,Location
108,2005 TOYOTA SIENNA,$3499,MILWAUKEE WI
109,1998 4runner,$3000,Waukesha
110,2008 LEXUS IS 250 AWD LEATHER SUNROOF ALLOY GOOD TIRES CD 024272,$5500,WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY
111,2006 PONTIAC G6,$3999,MILWAUKEE WI
112,2017 FORD FIESTA,$6995,MILWAUKEE WI
113,2016 HYUNDAI ELANTRA  GT,$5999,MILWAUKEE WI
114,2005 MERCEDES-BENZ S430,$5999,MILWAUKEE WI
115,2006 CADILLAC DTS,$2999,MILWAUKEE WI
116,2004 MAZDA MPV,$3999,MILWAUKEE WI
117,2009 NISSAN ALTIMA,$5999,MILWAUKEE WI
118,2009 MAZDA MAZDA6,$5999,MILWAUKEE WI
119,2011 Audi Q5 3.2L Premium Plus,$7000,Muskego
120,2013 ACURA RDX V6 AWD SUV! 2 OWNERS! BLUE TOOTH!,$13995,MEEKER HILL AUTO SALES- GERMANTOWN
121,Sunnyside Deck Wash or CAR WASH CONCENTRATE,$2,Greenfield
122,2014 Chevy Impala LTZ*Bose*Remote start*Heated leather*Sunroof*Aux*,$5999,Car King in West Allis*10124 W. Greenfield Avenue
123,2008 Nissan Altima SL*Heated Leather*Sunroof*Push button start*Aux*,$5999,Car King in West Allis*10124 W. Greenfield Avenue
124,2009 Dodge Charger*Heated leather*Sunroof*Chrome wheels*Sony/Aux*,$7999,Car King in West Allis*10124 W. Greenfield Avenue
125,2007 Pontiac G6*137000 miles*Keyless*Sunroof*Alloy wheels*,$5499,Car King in West Allis*10124 W. Greenfield Avenue
126,2010 Acura MDX SH/AWD*Nav*Heated leather*Back up cam*Sunroof*,$8999,Car King in West Allis*10124 W. Greenfield Avenue
127,2007 Lexus ES350*Heated & cooled leather seats*Sunroof*Keyless*,$6999,Car King in West Allis*10124 W. Greenfield Avenue
128,2009 Hyundai Sonata*Keyless*Sunroof*Dual exhaust*,$4999,Car King in West Allis*10124 W. Greenfield Avenue
129,2010 Volvo S80*Sunroof*Heated leather*Push button start*,$7999,Car King in West Allis*10124 W. Greenfield Avenue
130,2006 Acura TSX 6-Speed Manual,$6800,New Berlin
131,2003 Harley electric glide classic,$7500,Milwaukee
132,2011 Hyundai Sonata parts Texas Car,$0,Slinger
133,used car and truck parts all makes and models,$0,slinger
134,Sens Portable DVD player Rechargeable Battery Ear Pods/For Car,$28,milwaukee
135,2001 Silverado,$3000,Eagle
136,2003 Honda CRV Great for parts or a major fixer upper,$500,Bayview
137,1963 Studebaker Lark Daytona Wagonaire V8 63V Parts Car Station Wagon,$700,Franklin
138,57 Chevy Cheetos Store Display Pedal Car,$250,Waukesha
139,2010 MERCURY MILAN,$5999,MILWAUKEE WI
140,2012 JEEP PATRIOT,$5999,MILWAUKEE WI
141,2017 HYUNDAI SONATA,$12999,MILWAUKEE WI
142,2005 MITSUBISHI ENDEAVOR,$3999,MILWAUKEE WI
143,1999 FORD E-150,$4999,MILWAUKEE WI
144,2007 INFINITI M35,$8999,MILWAUKEE WI
145,2007 CHEVROLET IMPALA,$3999,MILWAUKEE WI
146,2002 TOYOTA SEQUOIA,$3999,MILWAUKEE WI
147,2006 JEEP COMMANDER,$4999,MILWAUKEE WI
148,2007 NISSAN ALTIMA,$4999,MILWAUKEE WI
149,2014 Freightliner Cascadia 113 Day Cab Tractor,$18800,unknown
150,Ford Edge Limited 2011 AWD,$7500,Mequon
151,2006 Chevy Silverado,$5000,Brown Deer
152,super clean sonata,$9999,west aliis
153,2016 Ford Transit Connect XL,$16500,Hartford
154,Convertible Car Seat,$25,Milwaukee
155,Highway 61 Collectibles 1966 Pontiac GTO Hardtop Diecast Car,$100,Southside Milwaukee Near Miller Park
156,GMC Sierra 3500 Crew Cab 2016,$51400,PEWAUKEE
157,Ford Model T w/ Center Door,$10500,Hartland
158,CAR HAULER TRAILER,$4900,Waukesha
159,1979 Chevorlet Malibu,$9500,Milwaukee
160,🚗💨 **2012 Audi Q5 2.0T,$7000,Elm Grove Area
161,1999 Honda CRV EX All wheel drive,$2600,Greenfield
162,Vintage Aurora AFX Devil's Ditch Slot Car Set,$100,Southside Milwaukee Near Miller Park
163,3 Car Seats,$10,New Berlin
164,Ford 9" Rear End Differential Race Car,$400,Watertown
165,Car headrest,$10,brookfield
166,KIA Rio 5 trunk cover remote key floor mat tire repair kits car accessories,$10,brookfield
167,cleaning tools Swiffer broom dust pan duster mops fan car cleaning,$5,brookfield
168,2011 Ford Escape XLT 4wd ...101k xx clean ...financing avail,$8995,Butler.....Butler Auto Werks
169,KIA Rio 5 trunk cover remote key floor mat tire repair kits car accessories,$10,brookfield
170,Heated car seat cushions,$10,Brookfield
171,Turn key race car / daily driver 2004 mini cooper S,$0,oakcreek
172,Car Detailing Equipment,$750,West Allis
173,2005 GMC Sierra SLE 1500 4X4 Z71,$3200,Spring Grove
174,2022 Toyota Highlander XLE AWD,$44500,oak creek
175,2000 Buick LeSabre,$1250,Brookfield
176,2009 CHEVROLET TRAVERSE LTZ FULLY LOADED,$4700,Mundelein IL
177,2000 ISUZU NPR FLATBED,$8700,Hartland
178,Vintage Car Screw Jack,$50,Milwaukee
179,2004 Jeep Liberty Sport 4x4 Good Service History  Nice!,$4995,AUTOHOUSE waukesha
180,2009 Acura TL SH-AWD,$6500,Milwaukee
181,2016 Hyundai Santa Fe Sport AWD-1 Owner! Heated Seats! B/U Cam! LOOK!,$13977,www.ezmotorcars.com for a free carfax report
182,2007 Chevy trailblazer four-wheel-drive,$2500,Greenfield wi
183,2008 VOLVO S40 2.4I LEATHER ALLOY GOOD TIRES CD 382771,$2500,WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY
184,2007 Ford Fusion,$3500,West Allis
185,2004 Chevy suburban clean,$2900,Milwaukee
186,2005 Chrysler Sebring,$2800,Milwaukee
187,2012 Mercedes Benz GL450 4-Matic,$18500,Deforest
188,2010 MITSUBISHI OUTLANDER SE AWD GAS SAVER ALLOY GOOD TIRES 015018,$3900,WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY
189,2001 Mercedes Benz SL500 Roadster,$18000,Deforest
190,2010 CHEVY MALIBU LS GAS SAVER ALLOY GOOD TIRES CD 220028,$2500,WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY
191,2023 7x24 PJ Car Hauler Tilt Trailer T6242,$10999,Right Trailers
192,1968 Buick Electra 225 Convertible,$10500,Columbus Wisconsin
193,2013 Chevy Equinox,$9499,Oconomowoc
194,For Sale: 2003 Acura TL,$2800,Milwaukee
195,2019 INFINITI QX50 PURE !!Bad Credit No Credit💥 NO PROBLEM!!,$0,unknown
196,2017 GMC Sierra 2500HD SLT !!Bad Credit No Credit💥 NO PROBLEM!!,$0,unknown
197,2009 HYUNDAI SANTA FE LIMITED ALLOY GOOD TIRES CD 237721,$3200,WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY
198,2006 Hyundai Santa Fe,$2475,Menomonee falls
199,2021 Dodge Durango R/T,$49500,Hartford
200,2011 Lincoln MKZ..all the toys  x clean ready togo ....,$6995,dons tire & auto center ...butler
201,2017 Porsche Macan Base !!Bad Credit No Credit💥 NO PROBLEM!!,$30000,unknown
202,2015 Nissan Murano Platinum !!Bad Credit No Credit💥 NO PROBLEM!!,$19500,unknown
203,2008 Ford explorer XLT xx clean / Financing avail.,$6995,Butler.....Butler Auto Werks
204,07 GMC Envoy SLE 4x4 ...2 owner 112k xx clean financing avail.,$6995,Butler.....Butler Auto Werks
205,1994 ford Econoline conversion van high top 108000 miles,$8500,unknown
206,2009 Audi A6 wagon,$5500,Menomonee Falls
207,2022 Chevrolet 3500 17ft Box Truck - Box Truck Liquidation Sale!,$57900,Crystal Lake
208,Lincoln Town Car 2000,$7800,Brookfield
209,64000 miles 2004 Cadillac SRX for parts only,$1900,East Troy
210,2005 TAURUS  45000 MILES,$4495,Waukesha
211,2011 DODGE NITRO HEAT 3.7L V6 ALLOY GOOD TIRES CD 561040,$4800,WAUKEGANAUTOAUCTION.COM OPEN TO PUBLIC OVER 200 CARS WEEKLY
212,2014 Volkswagen Passat 2.0L TDI SE 4dr Sedan 6M,$12935,unknown
213,2009 Nissan Altima 2.5 4dr Sedan,$3995,unknown
214,2016 Jeep Wrangler Unlimited Sport S 4x4 4dr SUV,$25835,unknown
215,2009 Toyota Venza FWD V6 4dr Crossover,$12935,unknown
216,2009 Toyota Venza FWD V6 4dr Crossover,$13935,unknown
217,2010 Toyota Sienna CE 7 Passenger 4dr Mini Van,$8935,unknown
218,2021 Toyota Camry SE !!Bad Credit No Credit💥 NO PROBLEM!!,$22500,unknown
219,2009 Toyota Camry Base 4dr Sedan 5A,$6995,unknown
220,2015 Toyota 4Runner SR5 !!Bad Credit No Credit💥 NO PROBLEM!!,$27500,unknown
221,MONEY TALKS AUTO SALES.....,$1,Milwaukee
222,2012 Toyota Venza LE FWD 4cyl 4dr Crossover,$14935,unknown
