ID,Title,Price,Miles,Location,Market Price
1370,2021 GMC Sierra 3500HD,$52999,20580 mi,West Bend; WI,$2338 below market
1371,2020 Nissan Rogue SV AWD,$24255,24986 mi,Waukesha; WI,$68 above market
1372,2004 Cadillac XLR RWD,$20999,49495 mi,Brown Deer; WI,$3609 below market
1373,2023 Acura RDX SH-AWD with Advance and A-Spec Package,$49686,351 mi,Milwaukee; WI,$2892 below market
1374,2020 Dodge Charger Scat Pack RWD,$40899,44968 mi,West Bend; WI,$2571 below market
1375,2020 Ford Ranger XL SuperCab 4WD,$19580,133189 mi,Watertown; WI,$2514 below market
1376,2020 GMC Sierra 1500 SLT Crew Cab 4WD,$43580,48600 mi,Watertown; WI,$2900 below market
1377,2019 Chevrolet Camaro,$26995,1787 mi,Plymouth; WI,$3768 below market
1378,2013 Chevrolet Silverado 1500 LT Extended Cab 4WD,$8998,204254 mi,Delavan; WI,$2605 below market
1379,2021 Ford F-150 XLT SuperCrew 4WD,$39898,20260 mi,Delavan; WI,$4506 below market
1380,2021 Cadillac XT5 Premium Luxury AWD,$40884,8106 mi,Delavan; WI,$3771 below market
1381,2021 Chevrolet Suburban Z71 4WD,$59898,48674 mi,Delavan; WI,$4990 below market
1382,2016 GMC Yukon SLE 4WD,$29999,50500 mi,Sheboygan Falls; WI,$2128 below market
1383,2020 Volvo XC90 T6 Momentum 7-Passenger AWD,$38929,34729 mi,Waukesha; WI,$2918 below market
1384,2017 Chevrolet Tahoe LT 4WD,$28594,111278 mi,Milwaukee; WI,$2357 below market
1385,2020 Chevrolet Equinox 2.0T Premier AWD,$29282,4777 mi,Milwaukee; WI,$2345 below market
1386,2020 Toyota Tacoma TRD Sport Double Cab 4WD,$35800,24317 mi,Milwaukee; WI,$3496 below market
1387,2022 Honda HR-V LX AWD,$24595,22758 mi,Gurnee; IL,$289 below market
1388,2020 Jeep Wrangler Unlimited Sahara 4WD,$38995,39308 mi,Milwaukee; WI,$1419 below market
1389,2021 Honda Passport Elite AWD,$34994,40415 mi,West Bend; WI,$1591 below market
1390,2020 Ford Edge SEL AWD,$27999,34444 mi,Random Lake; WI,$542 below market
1391,2021 Lexus RX 350 AWD,$44679,23671 mi,Milwaukee; WI,$2432 below market
1392,2022 Chevrolet Traverse LT Leather AWD,$37500,26241 mi,Cedarburg; WI,$2435 below market
1393,2022 Chevrolet Silverado 3500HD High Country Crew Cab 4WD,$72998,17737 mi,Cedarburg; WI,$3193 below market
1394,2023 Porsche Macan T AWD,$61382,2301 mi,Milwaukee; WI,$5636 below market
1395,2022 GMC Terrain SLE AWD,$27814,19214 mi,Plymouth; WI,$1794 below market
1396,2021 Jeep Cherokee Latitude Plus 4WD,$23905,56249 mi,Plymouth; WI,$2528 below market
1397,2020 Jeep Gladiator Rubicon Crew Cab 4WD,$42970,32653 mi,Plymouth; WI,$3126 below market
1398,2021 BMW X5 M AWD,$84858,11135 mi,Milwaukee; WI,$8218 below market
1399,2021 Chevrolet Silverado 1500 LTZ Crew Cab 4WD,$43624,54916 mi,Milwaukee; WI,$2276 below market
1400,2021 Acura RDX SH-AWD,$35321,9246 mi,Milwaukee; WI,$1671 below market
1401,2020 Ford F-150 XLT SuperCrew 4WD,$31499,81629 mi,Random Lake; WI,$2507 below market
1402,2022 Jeep Renegade Limited 4WD,$27894,9243 mi,Gurnee; IL,$1625 below market
1403,2022 Ford Escape SEL AWD,$32300,1687 mi,Beaver Dam; WI,$3710 below market
1404,2019 Hyundai Santa Fe XL Limited Ultimate AWD,$21999,96504 mi,Franklin; WI,$1828 below market
1405,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,$41999,3723 mi,Saukville; WI,$4262 below market
1406,2022 Alfa Romeo Giulia Ti AWD,$43248,6980 mi,Milwaukee; WI,$1865 below market
1407,2020 Dodge Journey SE Value FWD,$20995,32815 mi,Milwaukee; WI,$522 below market
1408,2020 GMC Sierra 2500HD Denali Crew Cab 4WD,$63294,53465 mi,Mount Pleasant; WI,$2707 below market
1409,2020 Ford Edge SEL AWD,$27999,34444 mi,Random Lake; WI,$542 below market
1410,2020 Buick Encore GX Essence AWD,$21899,53377 mi,Gurnee; IL,$3359 below market
1411,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,$41999,3723 mi,Saukville; WI,$4262 below market
1412,2021 Cadillac XT4 Sport AWD,$34999,17477 mi,Saukville; WI,$3749 below market
1413,2022 Volkswagen ID.4 Pro S RWD,$35706,3794 mi,Milwaukee; WI,$3214 below market
1414,2019 Chevrolet Silverado 1500 LTZ Crew Cab 4WD,$41765,41100 mi,Cedarburg; WI,$2893 below market
1415,2020 Ford F-150 XLT SuperCrew 4WD,$36994,32889 mi,Cedarburg; WI,$2597 below market
1416,2022 Chevrolet Traverse LT Leather AWD,$37500,26241 mi,Cedarburg; WI,$2435 below market
1417,2022 Chevrolet Silverado 3500HD High Country Crew Cab 4WD,$72998,17737 mi,Cedarburg; WI,$3193 below market
1418,2022 Jeep Renegade Limited 4WD,$27894,9243 mi,Gurnee; IL,$1625 below market
1419,2023 Volkswagen Golf R 2.0T 4Motion AWD,$52227,1916 mi,Milwaukee; WI,$3955 below market
1420,2023 Porsche Macan T AWD,$61382,2301 mi,Milwaukee; WI,$5636 below market
1421,2021 Honda Accord Hybrid Touring FWD,$31150,24401 mi,Gurnee; IL,$2558 below market
1422,2022 Hyundai Santa Fe SEL AWD,$29500,15795 mi,Gurnee; IL,$3087 below market
1423,2016 Nissan Rogue S FWD,$10990,101100 mi,Gurnee; IL,$2296 below market
1424,2020 GMC Sierra 2500HD AT4 Crew Cab 4WD,$54603,55629 mi,Plymouth; WI,$5430 below market
1425,2022 Ford Bronco Outer Banks Advanced 4-Door 4WD,$56900,14446 mi,West Bend; WI,$5183 below market
1426,2021 Ford F-150 Lariat SuperCrew 4WD,$48488,40685 mi,Milwaukee; WI,$1455 above market
1427,2019 Chevrolet Silverado 1500 RST Crew Cab 4WD,$38997,80863 mi,Antioch; IL,$870 above market
1428,2020 RAM 1500 Laramie Crew Cab 4WD,$47246,19963 mi,Antioch; IL,$418 above market
1429,2004 Cadillac XLR RWD,$20999,49495 mi,Brown Deer; WI,$3609 below market
1430,2023 Acura RDX SH-AWD with Advance and A-Spec Package,$49686,351 mi,Milwaukee; WI,$2892 below market
1431,2020 Dodge Charger Scat Pack RWD,$40899,44968 mi,West Bend; WI,$2571 below market
1432,2020 Ford Ranger XL SuperCab 4WD,$19580,133189 mi,Watertown; WI,$2514 below market
1433,2020 GMC Sierra 1500 SLT Crew Cab 4WD,$43580,48600 mi,Watertown; WI,$2900 below market
1434,2019 Chevrolet Camaro,$26995,1787 mi,Plymouth; WI,$3768 below market
1435,2013 Chevrolet Silverado 1500 LT Extended Cab 4WD,$8998,204254 mi,Delavan; WI,$2605 below market
1436,2021 Ford F-150 XLT SuperCrew 4WD,$39898,20260 mi,Delavan; WI,$4506 below market
1437,2021 Cadillac XT5 Premium Luxury AWD,$40884,8106 mi,Delavan; WI,$3771 below market
1438,2021 Chevrolet Suburban Z71 4WD,$59898,48674 mi,Delavan; WI,$4990 below market
1439,2016 GMC Yukon SLE 4WD,$29999,50500 mi,Sheboygan Falls; WI,$2128 below market
1440,2020 Volvo XC90 T6 Momentum 7-Passenger AWD,$38929,34729 mi,Waukesha; WI,$2918 below market
1441,2017 Chevrolet Tahoe LT 4WD,$28594,111278 mi,Milwaukee; WI,$2357 below market
1442,2020 Chevrolet Equinox 2.0T Premier AWD,$29282,4777 mi,Milwaukee; WI,$2345 below market
1443,2020 Toyota Tacoma TRD Sport Double Cab 4WD,$35800,24317 mi,Milwaukee; WI,$3496 below market
1444,2014 Mazda CX-5 Grand Touring AWD,$14287,123375 mi,Oconomowoc; WI,$3 below market
1445,2020 Toyota RAV4 XLE AWD,$27994,16722 mi,Brookfield; WI,$4093 below market
1446,2018 Chevrolet Bolt EV LT FWD,$18548,30863 mi,Plymouth; WI,$1450 below market
1447,2020 Jeep Cherokee Limited FWD,$25445,22417 mi,Sheboygan; WI,$534 above market
1448,2004 Cadillac XLR RWD,$20999,49495 mi,Brown Deer; WI,$3609 below market
1449,2023 Acura RDX SH-AWD with Advance and A-Spec Package,$49686,351 mi,Milwaukee; WI,$2892 below market
1450,2020 Dodge Charger Scat Pack RWD,$40899,44968 mi,West Bend; WI,$2571 below market
1451,2020 Ford Ranger XL SuperCab 4WD,$19580,133189 mi,Watertown; WI,$2514 below market
1452,2020 GMC Sierra 1500 SLT Crew Cab 4WD,$43580,48600 mi,Watertown; WI,$2900 below market
1453,2019 Chevrolet Camaro,$26995,1787 mi,Plymouth; WI,$3768 below market
1454,2013 Chevrolet Silverado 1500 LT Extended Cab 4WD,$8998,204254 mi,Delavan; WI,$2605 below market
1455,2021 Ford F-150 XLT SuperCrew 4WD,$39898,20260 mi,Delavan; WI,$4506 below market
1456,2021 Cadillac XT5 Premium Luxury AWD,$40884,8106 mi,Delavan; WI,$3771 below market
1457,2021 Chevrolet Suburban Z71 4WD,$59898,48674 mi,Delavan; WI,$4990 below market
1458,2016 GMC Yukon SLE 4WD,$29999,50500 mi,Sheboygan Falls; WI,$2128 below market
1459,2020 Volvo XC90 T6 Momentum 7-Passenger AWD,$38929,34729 mi,Waukesha; WI,$2918 below market
1460,2017 Chevrolet Tahoe LT 4WD,$28594,111278 mi,Milwaukee; WI,$2357 below market
1461,2020 Chevrolet Equinox 2.0T Premier AWD,$29282,4777 mi,Milwaukee; WI,$2345 below market
1462,2020 Toyota Tacoma TRD Sport Double Cab 4WD,$35800,24317 mi,Milwaukee; WI,$3496 below market
1463,2016 Chevrolet Silverado 1500 LT Crew Cab 4WD,$28818,104238 mi,West Bend; WI,$45 above market
1464,2015 Hyundai Santa Fe Limited FWD,$14926,103706 mi,Fox Lake; IL,$647 below market
1465,2020 Chevrolet Silverado 2500HD High Country Crew Cab 4WD,$55995,97639 mi,Mukwonago; WI,$2563 below market
1466,2020 Kia Optima S FWD,$21899,21086 mi,Waukegan; IL,$481 below market
1467,2021 Lexus RX 350 AWD,$44679,23671 mi,Milwaukee; WI,$2432 below market
